P_2,D_39,B_1,B_2,R_1,S_3,D_41
0.9552903931942256,0.0065649365754181,0.0016286311299924,0.8113353369789673,0.0003225467781276,,0.0096644210364961
0.7425058766504545,0.0046481851939241,0.0020437561767245,0.8116633627798144,0.0025701839289462,,0.0015839794506239
0.3751290347577951,0.0060457266831657,0.01883725007034,0.8162342523701515,0.0087275392619411,0.6731192767808919,0.0037883708631572
0.7732952043322587,0.0056060276982567,0.0048554151582517,0.811319035185797,0.0042491060750666,0.3266568964971856,0.0031500850436609
0.4616594345122919,0.2417074788994559,0.0655774750745631,0.160732914704124,0.0071440246989461,0.3456674817921791,0.0022547865394905
0.716976826603319,0.0044664890115063,0.0038005114255907,0.8169577201832384,0.2550774505786706,,0.0036407506172003
0.1248633222118202,0.5980322239988352,0.2294145028941789,0.166215655882452,0.2522347006798762,0.1626628402452734,0.2993309827498778
0.8911205083266787,0.0025514176369446,0.0048874368063134,1.0051842936939024,0.0024291976723405,0.1515334723660257,0.0064874606302865
0.8115731222610245,0.0010556173648689,0.0032648636630857,0.8125537524389005,0.007536005024447,0.3321768697187185,0.0035139345771666
0.5098818107347292,0.0077093411523646,0.0003356566458308,0.8142176650808199,0.0003129628372039,0.2715040793300396,0.0059903959131885
0.8422204409299998,0.1801936707089973,0.0231188911554821,1.0046402597000137,0.0025867644399221,0.0608951441322217,0.0086418753024857
0.9825788396148344,0.0082204559126174,0.0068230275835591,0.8100386510444417,0.0043462249625412,0.1715922358368316,0.0027302971360596
0.786262271483247,0.000210978164388,0.0053806727180165,0.8188378568981312,0.0044112094966604,,0.0054957108484525
0.4646248570600141,0.0027554490766283,0.0188989327622358,1.0070823699441185,0.5032753688224989,0.1255266028876706,0.0008512816723321
0.3727082659087475,0.0034464357813719,0.0015856898232146,0.8125390232797095,0.0043768155580324,,0.0065428792980355
0.5339340757717781,0.0075707911537745,0.0207430040889384,1.00943723393759,0.0072474062282356,0.3114075975144547,0.0009914966933978
0.5467427272862777,0.0050196032582702,0.0033309029554993,0.8184175409594776,0.0087143616724049,,0.0099131292372636
-0.133761700547511,2.3319267202648644,1.1233671907483025,0.0034040571803881,1.0071951457813628,0.203851741297998,2.0882593128801377
0.8936278120796368,0.0086681784506744,0.0043330082107375,0.8135925677712906,0.0078385743218797,,0.0013960364849175
0.5360934216625197,0.0031502000323827,0.0857932064571262,1.0049715587419126,0.0072501062573399,0.0689598059276502,0.1159012800383319
